"word_id","word","part_of_speech","definition","synonyms","letters","count","difficulty","example_sentences"
"2091","agglutinate","adjective","united as if by glue","agglutinative","11","297028","0.690453246684222","[""an agglutinate family of languages""]"
"2099","airship","noun","a steerable self-propelled aircraft","dirigible","7","1687054","0.595107764700666","[""Airships are posited to be cheaper to operate over time than fixed-wing aircraft, but as there are no large fleets, this is hard to prove in practice."",""On weekends, I liked to spend my time at the airport watching the various airships take off and land.""]"
"2114","algonquin","noun","family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains","algonquian, algonquian language","9","1560263","0.642736607584582",""
"2115","algophobia","noun","a morbid fear of pain","","10","2680","0.666666462790177",""
"2116","alidad","noun","surveying instrument used with a plane table for drawing lines of sight on a distant object and for measuring angles","alidade","6","4343","0.571428239076674",""
"2117","alimony","noun","court-ordered support paid by one spouse to another after they are separated","maintenance","7","6392192","0.594744268293573",""
"2118","alkaline","adjective","relating to or containing an alkali; having a pH greater than 7","alkalic","8","17643791","0.617684547500589",""
"2119","alkaloid","noun","natural bases containing nitrogen found in plants","","8","2075194","0.618887302674397",""
"2120","allayer","noun","a person who reduces the intensity (e.g., of fears) and calms and pacifies","comforter, reliever","7","4558","0.595237746276328",""
"2121","allege","verb","report or maintain","aver, say","6","9425135","0.570700433846737",""
"2122","allelomorph","noun","(genetics) either of a pair (or series) of alternative forms of a gene that can occupy the same locus on a particular chromosome and that control the same character","allele","11","42722","0.690472893146728",""
"2123","allotment","noun","a share set aside for a specific purpose","allocation","9","14934245","0.641703397845456",""
"2124","allocution","noun","(rhetoric) a formal or authoritative address that advises or exhorts","","10","251168","0.666647265798462",""
"2125","allosaur","noun","late Jurassic carnivorous dinosaur; similar to but somewhat smaller than tyrannosaurus","allosaurus","8","4684","0.619047260351696",""
"2126","almighty","adjective","having unlimited power","all-powerful, omnipotent","8","9266146","0.618331764193787",""
"2127","alopecia","noun","loss of hair (especially on the head) or loss of wool or feathers; in humans it can result from heredity or hormonal imbalance or certain diseases or drugs and treatments (chemotherapy for cancer)","","8","1269619","0.618949537537252",""
"2128","alphabetised","adjective","having been put in alphabetical order","alphabetized","12","1620","0.714285592299743",""
"2129","alright","adverb","in a satisfactory or adequate manner","all right, o.k., okay","7","2517041","0.595043643883713",""
"2130","alsatian","noun","breed of large shepherd dogs used in police work and as a guide for the blind","german police dog, german shepherd, german shepherd dog","8","514401","0.619007882059681",""
"2131","alsatia","noun","a region of northeastern France famous for its wines","alsace, elsass","7","81225","0.595231823351423",""
"2132","alpinist","noun","a mountain climber who specializes in difficult climbs","","8","34750","0.619044937596662",""
"2133","alternating","adjective","occurring by turns; first one and then the other","alternate","11","16360632","0.689212249642485",""
"2134","alterative","adjective","tending to cure or restore to health","curative, healing, remedial, sanative, therapeutic","10","481771","0.666629450516112",""
"2135","alternation","noun","successive change from one thing or state to another and back again","","11","3070653","0.690238969712511",""
"2136","altimeter","noun","an instrument that measures the height above ground; used in navigation","","9","1394405","0.642749420978596",""
"2137","ambivalence","noun","mixed feelings or emotions","ambivalency","11","3763592","0.690185436567078",""
"2138","ambergris","noun","waxy substance secreted by the sperm whale and found floating at sea or washed ashore; used in perfume","","9","273158","0.64283604314695",""
"2139","ambivalent","adjective","uncertain or unable to decide about what course to follow","","10","3075941","0.666429037377456",""
"2140","ambidexterity","noun","the property of being equally skillful with each hand","ambidextrousness","13","50619","0.738091330681411",""
"2141","ambient","adjective","completely enveloping","","7","14325288","0.594131395325102",""
"2142","amble","verb","walk leisurely","mosey","5","312851","0.547594881417949",""
"2143","ambler","noun","someone who walks at a leisurely pace","saunterer, stroller","6","1421603","0.571318748362923",""
"2144","amerindian","noun","any member of the peoples living in North or South America before the Europeans arrived","native american","10","501243","0.666627946202734",""
"2145","amerind","noun","any of the languages spoken by Amerindians","american-indian language, american indian, amerindian language, indian","7","146827","0.595226755255376",""
"2146","ammonification","noun","impregnation with ammonia or a compound of ammonia","","14","138558","0.761894060745344",""
"2147","ammoniac","adjective","pertaining to or containing or similar to ammonia","ammoniacal","8","398145","0.61901686344095",""
"2148","amortize","verb","liquidate gradually","amortise","8","1154281","0.618958447998242",""
"2149","amortisation","noun","the reduction of the value of an asset by prorating its cost over a period of years","amortization","12","107558","0.714277408037693",""
"2150","amorous","adjective","inclined toward or displaying love","amative","7","1889104","0.595092155286223",""
"2151","amphibian","adjective","relating to or characteristic of animals of the class Amphibia","amphibious","9","1586747","0.642734561557697",""
"2152","amphitheater","noun","a sloping gallery with seats for spectators (as in an operating room or theater)","amphitheatre","12","1259824","0.714188389490094",""
"2153","amphiuma","noun","aquatic eel-shaped salamander having two pairs of very small feet; of still muddy waters in the southern United States","blind eel, congo eel, congo snake","8","75499","0.619041789524258",""
"2154","amplitude","noun","the property of copious abundance","bountifulness, bounty","9","26555818","0.640805570825235",""
"2155","amyloidal","adjective","resembling starch","amylaceous, amyloid, farinaceous, starchlike","9","650","0.642857095808722",""
"2156","antabuse","noun","a drug (trade name Antabuse) used in the treatment of alcoholism; causes nausea and vomiting if alcohol is ingested","disulfiram","8","207440","0.619031596395077",""
"2157","antlion","noun","the larva of any of several insects","ant lion, doodlebug","7","12024","0.595237169488958",""
"2158","anxiously","adverb","with anxiety or apprehension","apprehensively, uneasily","9","5513456","0.642431202843627",""
"2159","analgesic","noun","a medicine used to relieve pain","anodyne, pain pill, painkiller","9","2839028","0.642637816330634",""
"2160","anarchist","noun","an advocate of anarchism","nihilist, syndicalist","9","2304071","0.642679144544057",""
"2161","ananias","noun","a habitual liar (after a New Testament character who was struck dead for lying)","","7","618357","0.595190327107926",""
"2162","anaplasia","noun","loss of structural differentiation within a cell or group of cells often with increased capacity for multiplication, as in a malignant tumor","","9","98218","0.642849558172749",""
"2163","anchorman","noun","a television reporter who coordinates a broadcast to which several correspondents contribute","anchor, anchorperson","9","183018","0.642843006931251",""
"2164","ancestress","noun","a woman ancestor","","10","188393","0.66665211549404",""
"2165","anchovy","noun","small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide","","7","1040864","0.595157686242457",""
"2166","anchylosis","noun","abnormal adhesion and rigidity of the bones of a joint","ankylosis","10","171636","0.666653410059533",""
"2167","anencephalia","noun","a defect in brain development resulting in small or missing brain hemispheres","anencephaly","12","5294","0.714285308464115",""
"2168","anesthesiologist","noun","a specialist who administers an anesthetic to a patient before he is treated","anaesthetist, anesthetist","16","880444","0.809455793808374",""
"4892","misdo","verb","do wrongly or improperly","","5","4566","0.547618698039239",""
"2169","angelical","adjective","marked by utter benignity; resembling or befitting an angel or saint","angelic, beatific, sainted, saintlike, saintly","9","105271","0.642849013291779",""
"2170","anger","verb","become angry","see red","5","38782310","0.544622915424748",""
"2171","angelus","noun","the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited","angelus bell","7","733317","0.595181445849404",""
"2172","angelology","noun","the branch of theology that is concerned with angels","","10","71057","0.666661180310933",""
"2173","angevine","noun","a resident of Anjou","angevin","8","149882","0.619036043050244",""
"2174","anglicisation","noun","the act of anglicizing; making English in appearance","anglicization","13","9882","0.738094477826752",""
"2175","anguis","noun","type genus of the Anguidae: blindworms","genus anguis","6","42468","0.571425293721932",""
"2176","angulate","adjective","having angles or an angular shape","angular","8","305074","0.619024053660261",""
"2177","anise","noun","liquorice-flavored seeds, used medicinally and in cooking and liquors","anise seed, aniseed","5","919004","0.547548052942855",""
"2178","aniseikonia","noun","visual defect in which the shape and size of an ocular image differ in the two eyes","","11","46181","0.690472625920969",""
"2179","animalism","noun","preoccupation with satisfaction of physical drives and appetites","physicality","9","111943","0.642848497845042",""
"2180","animate","verb","give lifelike qualities to","animise, animize","7","2994000","0.595006796317748",""
"2181","animus","noun","a feeling of ill will arousing active hostility","animosity, bad blood","6","2042241","0.571270800846164",""
"2182","ankylose","verb","undergo ankylosis","ancylose","8","7140","0.619047070612909",""
"2183","annex","noun","an addition that extends a main building","annexe, extension, wing","5","12720515","0.546636324775313",""
"2184","announce","verb","announce publicly or officially","declare","8","13816501","0.617980225579298",""
"2185","announcement","noun","a formal public statement","annunciation, declaration, proclamation","12","27133015","0.712189550780467",""
"2186","annual","noun","a reference book that is published regularly once every year","yearbook, yearly","6","370182953","0.542830014174927",""
"2187","annulate","adjective","shaped like a ring","annular, annulated, circinate, doughnut-shaped, ring-shaped, ringed","8","142066","0.619036646876937",""
"2188","annulus","noun","a toroidal shape","anchor ring, doughnut, halo, ring","7","2378162","0.595054373009516",""
"2189","anodize","verb","coat a metal with an oxide coat","anodise","7","44915","0.595234628487965",""
"2190","antecedence","noun","preceding in time","antecedency, anteriority, precedence, precedency, priority","11","65139","0.690471161316768",""
"2191","antepartum","adjective","occurring or existing before birth","antenatal, prenatal","10","333147","0.6666409324939",""
"2192","antecedent","noun","someone from whom you are descended (but usually more remote than a grandparent)","ancestor, ascendant, ascendent, root","10","6073276","0.666197477643532",""
"2193","antheral","adjective","capable of fertilizing female organs","staminate","8","419","0.619047589845151",""
"2194","anteroom","noun","a large entrance or reception room or area","antechamber, entrance hall, foyer, hall, lobby, vestibule","8","634483","0.618998605099992",""
"2195","anthracite","noun","a hard natural coal that burns slowly and gives intense heat","anthracite coal, hard coal","10","8346888","0.666021829279313",""
"2196","anthropology","noun","the social science that studies the origins and social relationships of human beings","","12","19913725","0.712747278519114",""
"2197","anthropometry","noun","measurement and study of the human body and its parts and capacities","","13","416979","0.738063027464013",""
"2198","anti","noun","a person who is opposed (to an action or policy or practice etc.)","","4","94448529","0.516512886379679",""
"2199","anticipated","adjective","expected hopefully","awaited, hoped-for","11","45281932","0.686977928643087",""
"2200","antigone","noun","(Greek mythology) the daughter of King Oedipus who disobeyed her father and was condemned to death","","8","1226709","0.618952852558157",""
"2201","antilles","noun","a group of islands in the West Indies","","8","2669656","0.61884137738992",""
"2202","antiphonary","noun","bound collection of antiphons","antiphonal","11","40884","0.690473035141798",""
"2203","antipodes","noun","any two places or regions on diametrically opposite sides of the Earth","","9","592662","0.642811359799501",""
"2204","antithesis","noun","exact opposite","","10","3057472","0.666430464203862",""
"2205","antibaryon","noun","the antiparticle of a baryon; a hadron with a baryon number of -1","","10","19813","0.666665139176727",""
"2206","antidromic","adjective","conducting nerve impulses in a direction opposite to normal","","10","188395","0.66665211533953",""
"2207","antiferromagnetism","noun","magnetic field creates parallel but opposing spins; varies with temperature","","18","111759","0.857134226345714",""
"2208","antispasmodic","noun","a drug used to relieve or prevent spasms (especially of the smooth muscles)","antispasmodic agent, spasmolytic","13","372000","0.73806650232594",""
"2209","antisubmarine","adjective","defensive against enemy submarines","","13","923851","0.73802386896306",""
"2210","antitype","noun","an opposite or contrasting type","","8","161266","0.619035163576975",""
"2211","anvil","noun","the ossicle between the malleus and the stapes","incus","5","3079084","0.547381175516723",""
"2212","anyhow","adverb","in any way whatsoever","anyway","6","5922636","0.570971020129721",""
"2213","anzio","noun","a town of central Italy on the Tyrrhenian Sea; the Allies established a beachhead at Anzio in World War II","","5","315210","0.547594699172918",""
"2214","aphesis","noun","the gradual disappearance of an initial (usually unstressed) vowel or syllable as in `squire' for `esquire'","","7","10099","0.59523731820523",""
"2215","aphaeretic","adjective","relating to or formed by or consisting of aphaeresis","apheretic","10","468","0.666666633678693",""
"2216","aphorism","noun","a short pithy instructive saying","apophthegm, apothegm","8","868782","0.6189805042824",""
"2217","aphoristic","adjective","containing aphorisms or maxims","axiomatic","10","177160","0.666652983301773",""
"2218","aphelion","noun","apoapsis in solar orbit; the point in the orbit of a planet or comet that is at the greatest distance from the sun","","8","230776","0.619029793567582",""
"2219","apodictic","adjective","of a proposition; necessarily true or logically certain","apodeictic","9","115949","0.642848188360685",""
"2220","apomictical","adjective","of or relating to a plant that reproduces by apomixis","apomictic","11","331","0.690476168072181",""
"2221","apomictic","adjective","(of reproduction) not involving the fusion of male and female gametes in reproduction","agamic, agamogenetic, agamous, parthenogenetic","9","68982","0.642851816805962",""
"2222","apolune","noun","apoapsis in orbit around the moon","aposelene","7","7953","0.595237483994903",""
"2223","apparently","adverb","unmistakably (`plain' is often used informally for `plainly')","evidently, manifestly, obviously, patently, plain, plainly","10","119911591","0.65740287512772",""
"2224","appanage","noun","any customary and rightful perquisite appropriate to your station in life","apanage","8","164977","0.619034876882905",""
"2225","apparent","adjective","clearly revealed to the mind or the senses or judgment","evident, manifest, palpable, patent, plain, unmistakable","8","107472063","0.610744845811204",""
"2226","appeaser","noun","someone who tries to bring peace by acceding to demands","","8","46813","0.619044005667108",""
"2227","appellant","adjective","of or relating to or taking account of appeals (usually legal appeals)","appellate","9","87215499","0.636119294652481",""
"2228","apparition","noun","something existing in perception only","fantasm, phantasm, phantasma, phantom, shadow","10","2290083","0.666489748999407",""
"2230","appetency","noun","a feeling of craving something","appetence, appetite","9","35933","0.642854370013276",""
"2231","appetizing","adjective","appealing to or stimulating the appetite especially in appearance or aroma","appetising","10","875957","0.666598997595342",""
"2232","apple","noun","native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits","malus pumila, orchard apple tree","5","40539340","0.544487175709536",""
"2233","appointment","noun","the act of putting a person into a non-elective position","assignment, designation, naming","11","87975984","0.683679590845927",""
"2234","appositional","adjective","relating to or being in apposition","appositive","12","107197","0.714277435926823",""
"2235","apposition","noun","the act of positioning close together (or side by side)","collocation, juxtaposition","10","1183466","0.666575240924092",""
"2236","approbatory","adjective","expressing or manifesting praise or approval","affirmative, approbative, approving, plausive","11","18358","0.690474775392576",""
"2237","apteral","adjective","(of insects) without wings","apterous","7","1311","0.595237997123983",""
"2238","archway","noun","a passageway under a curved masonry construction","arch","7","1161502","0.595148366328873",""
"2239","armful","noun","the quantity that can be contained in the arms","","6","440676","0.571394530080722",""
"2240","art","noun","the products of human creativity; works of art collectively","fine art","3","348116469","0.473106193521185",""
"2241","arab","noun","a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa","arabian","4","37203478","0.520935364607176",""
"2242","arabesque","noun","an ornament that interlaces simulated foliage in an intricate design","","9","543842","0.642815131398675",""
"2243","arbalest","noun","an engine that provided medieval artillery used during sieges; a heavy war engine for hurling large stones and other missiles","arbalist, ballista, bricole, catapult, mangonel, onager, trebuchet, trebucket","8","16735","0.619046329349204",""
"2244","arbiter","noun","someone with the power to settle matters at will","supreme authority","7","2500033","0.595044957840263",""
"2245","arbitrariness","noun","the trait of acting unpredictably and more from whim or caprice than from reason or judgment","capriciousness, flightiness, whimsey, whimsicality, whimsy","13","1228462","0.738000336177399",""
"2246","ararat","noun","the mountain peak that Noah's ark landed on as the waters of the great flood receded","mount ararat, mt. ararat","6","549656","0.571386110808334",""
"2247","arboriculture","noun","the tending of and caring for trees","tree farming","13","275519","0.738073955985503",""
"2248","arbutus","noun","any of several evergreen shrubs of the genus Arbutus of temperate Europe and America","","7","428021","0.595205031554882",""
"2249","arcade","noun","a structure composed of a series of arches supported by columns","colonnade","6","2980288","0.571198331831614",""
"2250","arborescent","adjective","resembling a tree in form and branching structure","arboreal, arboreous, arboresque, arboriform, dendriform, dendroid, dendroidal, tree-shaped, treelike","11","296785","0.690453265457238",""
"2251","archean","adjective","of or relating to the earliest known rocks formed during the Precambrian Eon","archaean","7","844283","0.595172873148176",""
"2252","architectonics","noun","the science of architecture","tectonics","14","79580","0.761898617102904",""
"2253","argive","noun","a native or inhabitant of the city of Argos","","6","288987","0.571406248845718",""
"2254","argon","noun","a colorless and odorless inert gas; one of the six inert gases; comprises approximately 1% of the earth's atmosphere","ar, atomic number 18","5","5926265","0.547161215961054",""
"2255","argonaut","noun","cephalopod mollusk of warm seas whose females have delicate papery spiral shells","argonauta argo, nautilus, paper nautilus","8","612898","0.619000272653621",""
"2256","aries","noun","the first sign of the zodiac which the sun enters at the vernal equinox; the sun is in this sign from about March 21 to April 19","aries the ram, ram","5","2059139","0.547459971578164",""
"2257","arianism","noun","heretical doctrine taught by Arius that asserted the radical primacy of the Father over the Son","","8","374752","0.619018670671993",""
"2258","arietta","noun","a short aria","short aria","7","96466","0.595230645904823",""
"2259","arlington","noun","a city in northern Texas between Dallas and Fort Worth","","9","15425208","0.641665468397581",""
"2260","armageddon","noun","any catastrophically destructive battle","","10","837049","0.66660200344091",""
"2261","armada","noun","a large fleet","","6","1697772","0.57129741286984",""
"2262","armament","noun","the act of equiping with weapons in preparation for war","arming, equipping","8","5525366","0.618620758924596",""
"2263","armamentarium","noun","the collection of equipment and methods used in the practice of medicine","","13","387417","0.738065311282423",""
"2264","army","noun","the army of the United States of America; the agency that organizes and trains soldiers for land warfare","u. s. army, united states army, us army, usa","4","294996938","0.501019477659306",""
"2265","arraignment","noun","a legal document calling someone to court to answer an indictment","","11","2201369","0.690306126427307",""
"2266","arras","noun","a wall hanging of heavy handwoven fabric often with pictorial designs","tapestry","5","1017075","0.547540476447513",""
"2267","arrow","noun","a mark to indicate a direction or relation","pointer","5","22301127","0.545896172618298",""
"2268","arrogant","adjective","having or showing feelings of unwarranted importance out of overbearing pride","chesty, self-important","8","4771029","0.618679035385188",""
